inmate_id,booking_date
1721800,2017-10-31
1721801,2017-10-31
1721802,2017-10-31
1721803,2017-10-31
1721804,2017-10-31
1721805,2017-10-31
1721806,2017-10-31
1721807,2017-10-31
1721808,2017-10-31
1721809,2017-10-31
1721810,2017-10-31
1721811,2017-10-31
1721812,2017-10-31
1721813,2017-10-31
1721814,2017-10-31
1721815,2017-10-31
1721816,2017-10-31
1721817,2017-10-31
1721818,2017-10-31
1721819,2017-10-31
1721820,2017-10-31
1721821,2017-10-31
1721822,2017-10-31
1721823,2017-10-31
1721824,2017-10-31
1721825,2017-10-31
1721826,2017-10-31
1721827,2017-10-31
1721828,2017-10-31
1721829,2017-10-31
1721830,2017-10-31
1721831,2017-10-31
1721832,2017-10-31
1721833,2017-10-31
1721834,2017-10-31
1721835,2017-10-31
1721836,2017-10-31
1721837,2017-10-31
1721838,2017-10-31
1721839,2017-10-31
1721840,2017-10-31
1721841,2017-10-31
1721842,2017-10-31
1721843,2017-10-31
1721844,2017-10-31
1721845,2017-10-31
1721846,2017-10-31
1721847,2017-10-31
1721848,2017-10-31
1721849,2017-10-31
1721850,2017-10-31
1721851,2017-10-31
1721852,2017-10-31
1721853,2017-10-31
1721854,2017-10-31
1721855,2017-10-31
1721856,2017-10-31
1721857,2017-10-31
1721858,2017-10-31
1721859,2017-10-31
1721860,2017-10-31
1721861,2017-10-31
1721862,2017-10-31
1721863,2017-10-31
1721864,2017-10-31
1721865,2017-10-31
1721866,2017-10-31
1721867,2017-10-31
1721868,2017-10-31
1721869,2017-10-31
1721870,2017-10-31
1721871,2017-10-31
1721872,2017-10-31
1721873,2017-10-31
1721874,2017-10-31
1721875,2017-10-31
1721876,2017-10-31
1721877,2017-10-31
1721878,2017-10-31
1721879,2017-10-31
1721880,2017-10-31
1721881,2017-10-31
1721882,2017-10-31
1721883,2017-10-31
1721884,2017-10-31
1721885,2017-10-31
1721886,2017-10-31
1721887,2017-10-31
1721888,2017-10-31
1721889,2017-11-01
1721890,2017-11-01
1721891,2017-11-01
1721892,2017-11-01
1721893,2017-11-01
1721894,2017-11-01
1721895,2017-11-01
1721897,2017-11-01
1721898,2017-11-01
1721899,2017-11-01
1721900,2017-11-01
1721901,2017-11-01
1721902,2017-11-01
1721903,2017-11-01
1721904,2017-11-01
1721905,2017-11-01
1721906,2017-11-01
1721907,2017-11-01
1721908,2017-11-01
1721909,2017-11-01
1721910,2017-11-01
1721911,2017-11-01
1721912,2017-11-01
1721913,2017-11-01
1721914,2017-11-01
1721915,2017-11-01
1721916,2017-11-01
1721917,2017-11-01
1721918,2017-11-01
1721919,2017-11-01
1721920,2017-11-01
1721921,2017-11-01
1721922,2017-11-01
